co_ppm,o3_ppb,no2_ppb,temperature,humidity,pm1,pm25,pm10,pm1_label,pm25_label,pm10_label,no2_label,o3_label,co_label,temperature_label,humidity_label,label_sum,risk_label
3.705689,10.0,8.413441,31.7,50,20,29,29,1,0,0,0,0,1,1,0,3,0
3.743311,10.0,8.08015,31.9,50,20,29,29,1,0,0,0,0,1,1,0,3,0
3.689696,10.0,8.443026,31.9,49,20,29,29,1,0,0,0,0,1,1,0,3,0
3.652678,10.0,8.592427,31.9,49,19,28,28,1,0,0,0,0,1,1,0,3,0
3.595344,10.0,8.86767,31.8,49,19,28,28,1,0,0,0,0,1,1,0,3,0
3.595344,10.0,8.898762,31.8,49,20,29,29,1,0,0,0,0,1,1,0,3,0
3.574745,10.0,8.945597,31.8,50,20,28,28,1,0,0,0,0,1,1,0,3,0
3.579883,10.0,8.86767,31.7,50,20,28,28,1,0,0,0,0,1,1,0,3,0
3.574745,10.0,8.713742,31.7,50,20,28,28,1,0,0,0,0,1,1,0,3,0
3.528877,10.0,8.992666,31.6,50,19,28,30,1,0,0,0,0,1,1,0,3,0
3.498661,10.0,9.00841,31.5,50,19,29,30,1,0,0,0,0,1,1,0,3,0
3.513733,10.0,8.945597,31.4,50,19,29,30,1,0,0,0,0,1,1,0,3,0
3.493653,10.0,9.215465,31.3,50,19,29,30,1,0,0,0,0,1,1,0,3,0
3.5087,10.0,8.976951,31.2,50,19,29,30,1,0,0,0,0,1,1,0,3,0
3.463772,10.0,9.151278,31.1,51,21,32,33,1,1,0,0,0,1,1,0,4,1
3.468732,10.0,9.087513,31.0,51,20,29,31,1,0,0,0,0,1,1,0,3,0
3.453874,10.0,9.231577,30.9,51,20,29,31,1,0,0,0,0,1,1,0,3,0
3.4737,10.0,9.151278,30.9,51,20,29,32,1,0,0,0,0,1,1,0,3,0
3.448937,10.0,9.039973,30.8,51,20,29,32,1,0,0,0,0,1,1,0,3,0
3.429267,10.0,9.280083,30.7,51,19,28,30,1,0,0,0,0,1,1,0,3,0
3.42437,10.0,9.377822,30.7,52,19,28,30,1,0,0,0,0,1,1,0,3,0
3.444009,10.0,9.410623,30.6,52,20,28,28,1,0,0,0,0,1,1,0,3,0
3.483661,10.0,9.183317,30.6,52,20,28,28,1,0,0,0,0,1,1,0,3,0
3.488653,10.0,9.183317,30.6,52,19,29,30,1,0,0,0,0,1,1,0,3,0
3.4737,10.0,9.215465,30.6,52,19,29,30,1,0,0,0,0,1,1,0,3,0
3.444009,10.0,9.215465,30.5,52,20,30,31,1,1,0,0,0,1,1,0,4,1
3.444009,10.0,9.199377,30.5,52,20,30,31,1,1,0,0,0,1,1,0,4,1
3.419479,10.0,9.215465,30.4,52,19,29,30,1,0,0,0,0,1,1,0,3,0
3.42437,10.0,9.443531,30.4,52,19,29,30,1,0,0,0,0,1,1,0,3,0
3.434173,10.0,9.361465,30.4,53,19,27,28,1,0,0,0,0,1,1,0,3,0
3.453874,10.0,9.345133,30.3,53,19,27,29,1,0,0,0,0,1,1,0,3,0
3.488653,10.0,9.183317,30.3,53,19,27,29,1,0,0,0,0,1,1,0,3,0
3.4737,10.0,9.443531,30.3,53,21,30,30,1,1,0,0,0,1,1,0,4,1
3.468732,10.0,9.183317,30.3,53,21,30,30,1,1,0,0,0,1,1,0,4,1
3.444009,10.0,8.961261,30.3,53,21,30,31,1,1,0,0,0,1,1,0,4,1
3.458819,10.0,9.039973,30.3,53,21,30,31,1,1,0,0,0,1,1,0,4,1
3.448937,10.0,9.215465,30.3,53,20,30,31,1,1,0,0,0,1,1,0,4,1
3.429267,10.0,9.345133,30.2,53,20,31,34,1,1,0,0,0,1,1,0,4,1
3.463772,10.0,9.183317,30.2,53,20,31,34,1,1,0,0,0,1,1,0,4,1
3.429267,10.0,9.312554,30.2,53,21,31,33,1,1,0,0,0,1,1,0,4,1
3.444009,10.0,9.460031,30.2,53,21,31,33,1,1,0,0,0,1,1,0,4,1
3.498661,10.0,9.103414,30.2,53,21,30,31,1,1,0,0,0,1,1,0,4,1
3.503676,10.0,9.231577,30.2,53,21,30,31,1,1,0,0,0,1,1,0,4,1
3.493653,10.0,9.167283,30.2,54,21,30,31,1,1,0,0,0,1,1,0,4,1
3.488653,10.0,9.135297,30.2,54,20,29,32,1,0,0,0,0,1,1,0,3,0
3.498661,10.0,9.199377,30.1,54,20,29,32,1,0,0,0,0,1,1,0,3,0
3.493653,10.0,9.151278,30.1,54,20,30,32,1,1,0,0,0,1,1,0,4,1
3.53394,10.0,9.231577,30.1,54,20,30,32,1,1,0,0,0,1,1,0,4,1
3.585028,10.0,8.836679,30.0,54,19,29,32,1,0,0,0,0,1,1,0,3,0
3.579883,10.0,9.215465,30.0,54,20,30,33,1,1,0,0,0,1,1,0,4,1
3.585028,10.0,9.151278,30.0,54,20,30,34,1,1,0,0,0,1,1,0,4,1
3.616076,10.0,9.039973,30.0,54,19,31,33,1,1,0,0,0,1,1,0,4,1
3.590181,10.0,9.296304,29.9,54,19,31,32,1,1,0,0,0,1,1,0,4,1
3.605693,10.0,9.24772,29.9,54,20,30,32,1,1,0,0,0,1,1,0,4,1
3.616076,10.0,9.119339,29.9,54,20,30,32,1,1,0,0,0,1,1,0,4,1
3.647425,10.0,9.087513,29.9,54,19,29,31,1,0,0,0,0,1,1,0,3,0
3.616076,10.0,9.280083,29.9,54,19,27,28,1,0,0,0,0,1,1,0,3,0
3.631712,10.0,9.231577,29.9,54,19,27,28,1,0,0,0,0,1,1,0,3,0
3.663211,10.0,9.103414,29.9,54,19,27,28,1,0,0,0,0,1,1,0,3,0
3.631712,10.0,9.231577,29.9,54,19,31,32,1,1,0,0,0,1,1,0,4,1
3.595344,10.0,9.24772,29.9,54,19,31,33,1,1,0,0,0,1,1,0,4,1
3.642178,10.0,9.167283,29.8,54,20,32,34,1,1,0,0,0,1,1,0,4,1
3.636941,10.0,9.183317,29.8,54,19,29,30,1,0,0,0,0,1,1,0,3,0
3.673779,10.0,8.929958,29.8,54,19,29,29,1,0,0,0,0,1,1,0,3,0
3.65794,10.0,8.961261,29.8,54,20,29,29,1,0,0,0,0,1,1,0,3,0
3.616076,10.0,9.215465,29.8,54,20,29,29,1,0,0,0,0,1,1,0,3,0
3.631712,10.0,9.103414,29.8,54,21,30,32,1,1,0,0,0,1,1,0,4,1
3.626492,10.0,9.119339,29.8,54,21,30,32,1,1,0,0,0,1,1,0,4,1
3.679076,10.0,9.167283,29.8,54,20,29,30,1,0,0,0,0,1,1,0,3,0
3.647425,10.0,9.167283,29.8,54,20,29,30,1,0,0,0,0,1,1,0,3,0
3.652678,10.0,9.199377,29.8,54,21,30,31,1,1,0,0,0,1,1,0,4,1
3.616076,10.0,9.183317,29.9,54,21,29,31,1,0,0,0,0,1,1,0,3,0
3.684382,10.0,9.119339,29.9,54,22,30,32,1,1,0,0,0,1,1,0,4,1
3.663211,10.0,9.151278,29.9,54,20,29,33,1,0,0,0,0,1,1,0,3,0
3.673779,10.0,9.055792,29.9,54,21,30,34,1,1,0,0,0,1,1,0,4,1
3.700349,10.0,8.945597,29.8,54,21,30,34,1,1,0,0,0,1,1,0,4,1
3.695019,10.0,8.790385,29.8,54,20,30,32,1,1,0,0,0,1,1,0,4,1
3.673779,10.0,9.024178,29.8,54,20,30,32,1,1,0,0,0,1,1,0,4,1
3.684382,10.0,9.024178,29.8,54,20,30,32,1,1,0,0,0,1,1,0,4,1
3.668492,10.0,8.914349,29.8,54,19,29,30,1,0,0,0,0,1,1,0,3,0
3.700349,10.0,8.698488,29.8,54,20,32,33,1,1,0,0,0,1,1,0,4,1
3.679076,10.0,8.698488,29.8,55,20,31,32,1,1,0,0,0,1,1,0,4,1
3.695019,10.0,8.80579,29.8,55,20,31,32,1,1,0,0,0,1,1,0,4,1
